               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024831,           0.0072621,                   0,             0.96488,             0.97015,             0.98379,             0.59861,            0.027671,           0.0040543,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.025264,           0.0070497,                   0,              0.9633,             0.97761,             0.98908,             0.61787,            0.026873,           0.0040179,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.025628,           0.0070556,                   0,             0.97553,             0.97761,              0.9895,             0.58952,            0.027122,           0.0039465,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.025475,           0.0068708,                   0,             0.97475,             0.98507,             0.98906,             0.63382,            0.025513,           0.0039445,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.024162,           0.0064469,                   0,             0.97304,             0.99254,             0.98561,             0.62778,             0.02613,           0.0040484,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.024052,           0.0068392,                   0,             0.96094,             0.99254,             0.98133,             0.61433,            0.027232,           0.0040307,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.024784,           0.0069092,                   0,             0.96668,             0.96269,             0.97391,             0.61381,            0.027613,           0.0040415,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.024197,           0.0063383,                   0,             0.97025,             0.97363,             0.98354,             0.62755,            0.026461,           0.0039941,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.023518,           0.0064733,                   0,             0.96289,             0.99254,             0.98558,             0.63812,            0.025476,           0.0039746,                   0,             0.00406,             0.00406,             0.00406
                  47,             0.02336,           0.0065075,                   0,             0.96335,             0.98075,             0.98254,             0.61205,            0.026774,           0.0040065,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.022956,           0.0069154,                   0,             0.94316,             0.99058,             0.98126,              0.6215,             0.02589,           0.0040037,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.022442,           0.0064685,                   0,             0.97683,             0.98507,             0.97864,             0.61807,             0.02699,           0.0040462,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.022697,           0.0063708,                   0,             0.97777,             0.98454,              0.9799,             0.62831,            0.026185,           0.0040254,                   0,            0.003532,            0.003532,            0.003532
                  51,               0.023,           0.0064713,                   0,             0.97006,             0.98507,              0.9764,              0.6133,            0.026813,           0.0040259,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.021645,           0.0064923,                   0,             0.97698,             0.97761,             0.98864,             0.62783,            0.026202,           0.0039685,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.020904,           0.0061224,                   0,             0.97071,             0.98919,             0.98321,             0.63035,            0.025928,           0.0039712,                   0,            0.003136,            0.003136,            0.003136
                  54,              0.0227,           0.0061991,                   0,              0.9629,              0.9685,             0.97222,             0.60949,            0.027501,            0.004144,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.022043,           0.0062536,                   0,             0.97775,             0.98391,             0.97928,             0.60165,            0.026782,           0.0041221,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.020889,           0.0062758,                   0,             0.97148,             0.97015,             0.98242,             0.62889,            0.025726,           0.0040795,                   0,             0.00274,             0.00274,             0.00274
                  57,             0.02081,           0.0061665,                   0,             0.97418,             0.97761,             0.98109,             0.62217,            0.026422,           0.0039633,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.020875,           0.0064684,                   0,              0.9637,              0.9907,             0.98101,             0.62806,            0.025841,           0.0039415,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.020778,           0.0059878,                   0,             0.97005,             0.99254,             0.97793,              0.6155,            0.026312,           0.0040268,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.021027,            0.006127,                   0,             0.97063,              0.9867,             0.97992,             0.62007,             0.02579,           0.0040279,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.020591,           0.0058341,                   0,             0.97718,             0.98507,              0.9812,             0.62112,            0.026048,           0.0040095,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.020417,           0.0060813,                   0,             0.95648,             0.98416,             0.96883,             0.59964,            0.027254,           0.0041101,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.020527,            0.005942,                   0,             0.97276,             0.99254,             0.97471,             0.60987,            0.026778,            0.004143,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.019804,           0.0057421,                   0,             0.96262,             0.98507,              0.9714,             0.61263,            0.027141,           0.0040598,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.019193,           0.0058844,                   0,             0.97568,             0.98507,             0.97897,             0.61882,            0.026128,           0.0040131,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.019835,           0.0059624,                   0,             0.96577,             0.97761,             0.97575,             0.62822,             0.02608,           0.0040173,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.019215,           0.0057486,                   0,             0.96866,             0.98507,             0.97873,              0.6249,            0.026433,            0.004019,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.019731,           0.0059474,                   0,             0.97494,             0.99254,             0.98181,             0.63347,            0.025656,             0.00405,                   0,            0.001156,            0.001156,            0.001156
                  69,             0.01902,           0.0059819,                   0,             0.97487,             0.99254,             0.97781,             0.61962,            0.026354,            0.004036,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.019417,           0.0057807,                   0,             0.97057,              0.9844,             0.97041,             0.61427,            0.026242,           0.0040327,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.019145,           0.0058201,                   0,             0.96331,             0.99254,             0.97473,             0.60875,            0.026569,           0.0040228,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.019467,           0.0062827,                   0,             0.96351,             0.99254,             0.97427,             0.61124,            0.026242,            0.004022,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.018343,           0.0056512,                   0,              0.9671,             0.99254,             0.97561,             0.60811,            0.026303,           0.0040404,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.018668,           0.0060357,                   0,             0.96604,             0.99254,             0.97636,             0.61715,            0.026105,             0.00404,                   0,            0.000364,            0.000364,            0.000364
